Date,MSCI World
12/1969,10000
01/1970,9445.500000000002
02/1970,9740.5
03/1970,9770.8
04/1970,8857.8
05/1970,8299
06/1970,8094.6
07/1970,8596.5
08/1970,8879.900000000001
09/1970,9166.7
10/1970,9031.4
11/1970,9233.7
12/1970,9691.499999999998
01/1971,10136.9
02/1971,10243.8
03/1971,10693.3
04/1971,11042.900000000001
05/1971,10781.4
06/1971,10890.9
07/1971,10716.8
08/1971,10950.7
09/1971,10846.6
10/1971,10435.1
11/1971,10523.3
12/1971,11471.200000000003
01/1972,11891.1
02/1972,12347.3
03/1972,12518.700000000003
04/1972,12684.8
05/1972,12943.199999999997
06/1972,12642.8
07/1972,12838.1
08/1972,13202.8
09/1972,13001.9
10/1972,13109.4
11/1972,13797.5
12/1972,14050.299999999997
01/1973,14082.6
02/1973,14179.9
03/1973,14199.700000000003
04/1973,13484.200000000003
05/1973,13444
06/1973,13528.5
07/1973,13851
08/1973,13274.3
09/1973,13658.4
10/1973,13796.2
11/1973,12007.3
12/1973,11908.6
01/1974,11999.9
02/1974,12186.6
03/1974,11878
04/1974,11680.1
05/1974,11209.8
06/1974,10857.4
07/1974,10214.4
08/1974,9228.7
09/1974,8368.000000000002
10/1974,9168.9
11/1974,9025.7
12/1974,8875.8
01/1975,10170.099999999999
02/1975,11068.3
03/1975,11149.400000000001
04/1975,11611.2
05/1975,11885.8
06/1975,12035.6
07/1975,11370.6
08/1975,11194.5
09/1975,10725.1
10/1975,11463.9
11/1975,11777.4
12/1975,11787.5
01/1976,12840.799999999997
02/1976,12745.8
03/1976,12896.100000000002
04/1976,12802.099999999999
05/1976,12588.8
06/1976,12976.2
07/1976,12854.8
08/1976,12825.6
09/1976,12933.3
10/1976,12480.8
11/1976,12431.8
12/1976,13366.7
01/1977,12918
02/1977,12861.3
03/1977,12780.900000000001
04/1977,12920.6
05/1977,12745.1
06/1977,13224.9
07/1977,13047.6
08/1977,13095.8
09/1977,13258.9
10/1977,13032.400000000001
11/1977,13195.7
12/1977,13457.5
01/1978,13061.600000000002
02/1978,12961.2
03/1978,13547.5
04/1978,14155.6
05/1978,14333.1
06/1978,14475
07/1978,15518.1
08/1978,15873.7
09/1978,16056.1
10/1978,15743.199999999997
11/1978,15185.9
12/1978,15680.5
01/1979,16081.1
02/1979,15772
03/1979,16431.800000000003
04/1979,16406.7
05/1979,16121.5
06/1979,16586.1
07/1979,16709.4
08/1979,17378.7
